"Target","Comparison","Control.Non.Lesional","CD.Lesional","CD.Non.Lesional","UC.Lesional"
"C1r","CD Lesional",0.22500181202563757,NA,NA,NA
"C1r","CD Non Lesional",1,0.5944801672355853,NA,NA
"C1r","UC Lesional",0.2415541115231518,1,0.7091802396015614,NA
"C1r","UC Non Lesional",1,0.5299372110517621,1,0.30914945869852317
"C1s_alpha","CD Lesional",1,NA,NA,NA
"C1s_alpha","CD Non Lesional",1,1,NA,NA
"C1s_alpha","UC Lesional",0.46451536080019057,1,0.8040009526077638,NA
"C1s_alpha","UC Non Lesional",1,1,1,1
"C2","CD Lesional",0.15871125778246523,NA,NA,NA
"C2","CD Non Lesional",1,1,NA,NA
"C2","UC Lesional",1,0.9471952196410403,1,NA
"C2","UC Non Lesional",0.9886549937700834,1,1,1
"C3","CD Lesional",1,NA,NA,NA
"C3","CD Non Lesional",1,1,NA,NA
"C3","UC Lesional",1,1,0.5032428871438159,NA
"C3","UC Non Lesional",1,1,1,1
"C4","CD Lesional",0.2415541115231518,NA,NA,NA
"C4","CD Non Lesional",0.9084239222885071,1,NA,NA
"C4","UC Lesional",1,1,1,NA
"C4","UC Non Lesional",0.4427141037721196,1,1,1
"C5","CD Lesional",1,NA,NA,NA
"C5","CD Non Lesional",1,1,NA,NA
"C5","UC Lesional",1,1,1,NA
"C5","UC Non Lesional",1,1,1,1
"C6","CD Lesional",1,NA,NA,NA
"C6","CD Non Lesional",1,1,NA,NA
"C6","UC Lesional",1,1,1,NA
"C6","UC Non Lesional",1,0.46707149358919453,1,0.11606603115554524
"C7","CD Lesional",1,NA,NA,NA
"C7","CD Non Lesional",1,1,NA,NA
"C7","UC Lesional",1,1,1,NA
"C7","UC Non Lesional",1,0.7458953304962189,1,1
"C8_alpha","CD Lesional",0.03436192290681455,NA,NA,NA
"C8_alpha","CD Non Lesional",1,0.1858988740130213,NA,NA
"C8_alpha","UC Lesional",1,0.05644510288473137,1,NA
"C8_alpha","UC Non Lesional",1,1,1,0.8685749571467704
"C9","CD Lesional",1,NA,NA,NA
"C9","CD Non Lesional",0.2867411495490645,0.5795127204199757,NA,NA
"C9","UC Lesional",0.10093106068338267,0.10093106068338267,1,NA
"C9","UC Non Lesional",1,1,1,0.737037898163218
"C3aR1","CD Lesional",1,NA,NA,NA
"C3aR1","CD Non Lesional",1,1,NA,NA
"C3aR1","UC Lesional",1,1,1,NA
"C3aR1","UC Non Lesional",1,1,1,1
"C5aR1","CD Lesional",1,NA,NA,NA
"C5aR1","CD Non Lesional",1,1,NA,NA
"C5aR1","UC Lesional",1,1,1,NA
"C5aR1","UC Non Lesional",1,1,1,1
"C5aR2","CD Lesional",0.2415541115231518,NA,NA,NA
"C5aR2","CD Non Lesional",0.10573354495820506,1,NA,NA
"C5aR2","UC Lesional",4.7630388187663733e-4,1,0.013064335045759193,NA
"C5aR2","UC Non Lesional",0.564744538899876,1,1,0.006255583156915772
"CFH","CD Lesional",1,NA,NA,NA
"CFH","CD Non Lesional",1,1,NA,NA
"CFH","UC Lesional",1,1,1,NA
"CFH","UC Non Lesional",1,1,1,1
"CFB","CD Lesional",2.8104887439925797e-4,NA,NA,NA
"CFB","CD Non Lesional",0.3622705198960414,0.8322156299003789,NA,NA
"CFB","UC Lesional",0.15871125778246523,0.6915066357790817,1,NA
"CFB","UC Non Lesional",0.1268993192536065,0.9990363803797643,1,1
"CFP","CD Lesional",0.6100091858605792,NA,NA,NA
"CFP","CD Non Lesional",1,1,NA,NA
"CFP","UC Lesional",0.6744462967373184,1,1,NA
"CFP","UC Non Lesional",1,0.9741412175117924,1,1
"CD59","CD Lesional",1,NA,NA,NA
"CD59","CD Non Lesional",1,1,NA,NA
"CD59","UC Lesional",0.9861758468569615,1,1,NA
"CD59","UC Non Lesional",1,1,1,1
"C4BP","CD Lesional",0.044290075249827573,NA,NA,NA
"C4BP","CD Non Lesional",0.13722634882952559,0.9261015677760865,NA,NA
"C4BP","UC Lesional",0.0020567667626491155,0.8042112686075535,0.014708941617004614,NA
"C4BP","UC Non Lesional",1,0.4143832267402062,0.6127924170009937,0.006938410895874889
"CD46","CD Lesional",1,NA,NA,NA
"CD46","CD Non Lesional",1,1,NA,NA
"CD46","UC Lesional",1,1,0.41282321124830207,NA
"CD46","UC Non Lesional",1,1,1,0.19210954612758352
"CR1","CD Lesional",1,NA,NA,NA
"CR1","CD Non Lesional",1,0.3582794914064264,NA,NA
"CR1","UC Lesional",1,1,0.183853298404382,NA
"CR1","UC Non Lesional",1,1,1,1
"CR2","CD Lesional",1,NA,NA,NA
"CR2","CD Non Lesional",1,1,NA,NA
"CR2","UC Lesional",1,1,1,NA
"CR2","UC Non Lesional",1,1,0.37338345535949513,1
"CR3","CD Lesional",1,NA,NA,NA
"CR3","CD Non Lesional",1,1,NA,NA
"CR3","UC Lesional",1,1,1,NA
"CR3","UC Non Lesional",1,1,1,1
"CR4","CD Lesional",0.027614284580228854,NA,NA,NA
"CR4","CD Non Lesional",0.7923063610235505,1,NA,NA
"CR4","UC Lesional",0.011550369135508453,1,0.6928180178954174,NA
"CR4","UC Non Lesional",1,0.9741412175117924,1,0.31736071170719166
"VSIG4","CD Lesional",1,NA,NA,NA
"VSIG4","CD Non Lesional",1,1,NA,NA
"VSIG4","UC Lesional",1,1,1,NA
"VSIG4","UC Non Lesional",1,1,1,1
