"Target","Comparison","Control.Non.Lesional","IBD.Lesional"
"C1r","IBD.Lesional",0.022151765308412792,NA
"C1r","IBD.Non Lesional",1,0.013866527689530093
"C1s_alpha","IBD.Lesional",0.10508904021095294,NA
"C1s_alpha","IBD.Non Lesional",1,0.39034633772794886
"C2","IBD.Lesional",0.0892002350473115,NA
"C2","IBD.Non Lesional",0.30570554357906665,1
"C3","IBD.Lesional",0.8364763382222395,NA
"C3","IBD.Non Lesional",1,0.8533272971205683
"C4","IBD.Lesional",0.0892002350473115,NA
"C4","IBD.Non Lesional",0.093103443980063,1
"C5","IBD.Lesional",1,NA
"C5","IBD.Non Lesional",1,1
"C6","IBD.Lesional",0.9210805586217878,NA
"C6","IBD.Non Lesional",1,0.04379131660979288
"C7","IBD.Lesional",1,NA
"C7","IBD.Non Lesional",0.27271012302940306,0.08594405317128354
"C8_alpha","IBD.Lesional",0.3562806685987031,NA
"C8_alpha","IBD.Non Lesional",0.778483349266027,1
"C9","IBD.Lesional",0.20236038928426603,NA
"C9","IBD.Non Lesional",0.2330115591289858,1
"C3aR1","IBD.Lesional",0.7934566835688855,NA
"C3aR1","IBD.Non Lesional",1,1
"C5aR1","IBD.Lesional",0.4300864766128102,NA
"C5aR1","IBD.Non Lesional",0.844532547592655,1
"C5aR2","IBD.Lesional",8.774733512364697e-4,NA
"C5aR2","IBD.Non Lesional",0.034551774212628894,0.009437795805833357
"CFH","IBD.Lesional",1,NA
"CFH","IBD.Non Lesional",1,1
"CFB","IBD.Lesional",3.084685944868757e-4,NA
"CFB","IBD.Non Lesional",0.02573324765709422,0.5407868082621248
"CFP","IBD.Lesional",0.0793050727383561,NA
"CFP","IBD.Non Lesional",1,0.2667821064520058
"CD59","IBD.Lesional",0.3997107060613614,NA
"CD59","IBD.Non Lesional",0.6533603197340339,1
"C4BP","IBD.Lesional",4.5321631987976243e-4,NA
"C4BP","IBD.Non Lesional",0.24899249054097752,8.677034064247494e-4
"CD46","IBD.Lesional",0.8139912983954674,NA
"CD46","IBD.Non Lesional",0.8623105236252049,0.08677571568352695
"CR1","IBD.Lesional",0.5136083606548374,NA
"CR1","IBD.Non Lesional",1,0.5108800434490356
"CR2","IBD.Lesional",1,NA
"CR2","IBD.Non Lesional",1,1
"CR3","IBD.Lesional",0.8364763382222395,NA
"CR3","IBD.Non Lesional",1,1
"CR4","IBD.Lesional",5.635643716603237e-4,NA
"CR4","IBD.Non Lesional",0.217159813541414,0.033837144455889964
"VSIG4","IBD.Lesional",1,NA
"VSIG4","IBD.Non Lesional",1,1
