"Target","Group","count","mean","sd","median","min","max","IQR"
"C1q_alpha","Control Non Lesional",11,3346.4518917727273,3490.7217563815,1780.474041,363.9607493,10396.84773,3090.3154994999995
"C1q_alpha","UC Non Lesional",16,6023.465222347928,11328.277401134408,2298.3987785,3.741307371,43924.76934,1236.24962875
"C1q_alpha","UC Lesional",10,75517.91873169999,204467.7076273986,4833.898676000001,1764.335507,655018.5874,7728.3267882499995
"C1q_alpha","CD Lesional",12,66407830.38113782,230011186.93253267,8614.4247965,997.9466119,796791443.9,7129.2697312499995
"C1q_alpha","CD Non Lesional",15,41051.15415232,77767.74069217143,4751.633987,742.6470588,250711.7438,10842.994465999998
"C1r","Control Non Lesional",11,4055.9096401318184,6650.393489584243,1000.437637,87.90593505,22092.81165,3441.8670441500003
"C1r","UC Non Lesional",16,5339.475853880563,7536.761718502174,659.4333068999999,0.023216864,24204.41347,7855.205049050001
"C1r","UC Lesional",10,15152.975132939999,18364.295860944603,7143.890943,619.1950464,59257.60286,16621.913148500003
"C1r","CD Lesional",12,86500012563.15392,299644785753.04913,3493.8593899999996,859.6345515,1038000000000,20835.39177825
"C1r","CD Non Lesional",15,10666.462577082666,20627.71411040275,1483.349657,55.84384384,64503.56911,6608.7661957
"C1s_alpha","Control Non Lesional",11,12.809382173818182,13.56801084105454,6.178861789,1.951886792,45.62589367,14.216397596499998
"C1s_alpha","UC Non Lesional",16,25.084707675625,34.38288878511436,13.882347175,2.229880397,131.2062937,20.683270064
"C1s_alpha","UC Lesional",10,27.57871631933333,22.75500772581924,22.86191072,4.107483317,67.05771938,28.381191489000003
"C1s_alpha","CD Lesional",12,19.556527786444445,15.205764525729991,14.7788162,4.450150522,48.71192341,19.812916022
"C1s_alpha","CD Non Lesional",15,15.000916004545454,19.033412049687847,5.98849797,1.912110523,62.98662704,13.727819425
"C2","Control Non Lesional",11,0.33608406981818184,0.2856399860378315,0.303873967,0.009329016,0.950084492,0.38342930850000007
"C2","UC Non Lesional",16,0.660884842125,0.5090403932258799,0.446143171,0.085283288,1.695976155,0.5971818065000001
"C2","UC Lesional",10,0.5863355459999999,0.4506425002878963,0.30744,0.105219256,1.278273111,0.725928963
"C2","CD Lesional",12,0.9522394692999999,0.6879637960874214,0.7797618365,0.191074907,2.207136641,1.1305565725
"C2","CD Non Lesional",15,0.940721703,1.131636121435918,0.353824485,0.084509112,3.339524517,1.1073659734999999
"C3","Control Non Lesional",11,0.09134899954545456,0.12785687070832058,0.037453184,0.002033856,0.422401519,0.0765161525
"C3","UC Non Lesional",16,11.9440144304375,47.1458870111823,0.0462343655,0.005321796,188.739546,0.266629118
"C3","UC Lesional",10,0.1372350772,0.11347785286506079,0.120567402,0.013678373,0.353140097,0.11594645324999998
"C3","CD Lesional",12,0.0866592956,0.07646304208392139,0.046185710000000005,0.008465608,0.221698113,0.12399956999999999
"C3","CD Non Lesional",15,0.06117768666666667,0.07263124691030005,0.0303072375,0.008061674,0.237140752,0.06551334449999999
"C3aR1","Control Non Lesional",11,40.25912273272727,21.126520903821444,31.23837209,15.34154535,83.25750682,24.547372619999997
"C3aR1","UC Non Lesional",16,101.07722905866666,216.73500973530722,45.64705882,12.51827399,874.7388414,33.04523816
"C3aR1","UC Lesional",10,44.827692183,18.841122166043483,41.577972895,20.42553191,75.49194991,26.75927204
"C3aR1","CD Lesional",12,57.73764178416667,50.478822681522395,42.504192360000005,18.44487241,205.8791209,40.121392254999996
"C3aR1","CD Non Lesional",15,50.772717486,41.087828065090996,39.48717949,11.53153153,174.6382979,30.105212155000007
