"Target","Control Non Lesional","UC Non Lesional","UC Lesional","CD Lesional","CD Non Lesional"
"C1q_alpha","1780.47 ± 3090.32","2298.4 ± 1236.25","4833.9 ± 7728.33","8614.42 ± 7129.27","4751.63 ± 10842.99"
"C1r","1000.44 ± 3441.87","659.43 ± 7855.21","7143.89 ± 16621.91","3493.86 ± 20835.39","1483.35 ± 6608.77"
"C1s_alpha","6.18 ± 14.22","13.88 ± 20.68","22.86 ± 28.38","14.78 ± 19.81","5.99 ± 13.73"
"C2","0.3 ± 0.38","0.45 ± 0.6","0.31 ± 0.73","0.78 ± 1.13","0.35 ± 1.11"
"C3","0.04 ± 0.08","0.05 ± 0.27","0.12 ± 0.12","0.05 ± 0.12","0.03 ± 0.07"
"C3aR1","31.24 ± 24.55","45.65 ± 33.05","41.58 ± 26.76","42.5 ± 40.12","39.49 ± 30.11"
"C4","0.02 ± 0.02","0.06 ± 0.13","0.07 ± 0.1","0.13 ± 0.12","0.03 ± 0.08"
"C4BP","0 ± 0.02","0.01 ± 0.1","0.53 ± 1.04","0.13 ± 0.31","0.03 ± 0.04"
"C5","0.85 ± 1.6","1.22 ± 1.58","0.97 ± 0.19","1.13 ± 1","0.88 ± 0.41"
"C5aR1","4.83 ± 2.6","8.21 ± 11.56","10.94 ± 6.02","7.88 ± 7.84","5.81 ± 5.94"
"C5aR2","0.03 ± 0.06","0.06 ± 0.08","0.33 ± 0.15","0.16 ± 0.27","0.14 ± 0.07"
"C6","2.95 ± 31.2","16.06 ± 22.54","0.29 ± 5.12","1.62 ± 8.51","3.41 ± 16.11"
"C7","6.7 ± 48.78","38.19 ± 104.73","7.78 ± 29.21","10.02 ± 34","55.14 ± 151.5"
"C8_alpha","0 ± 0","0 ± 0.01","0 ± 0","0 ± 0.01","0 ± 0"
"C9","46.8 ± 364.08","173.88 ± 2375.94","2327.29 ± 9702.29","85.52 ± 920.08","1068.53 ± 2282"
"CD46","1.2 ± 0.31","1.46 ± 0.47","0.82 ± 0.62","1.29 ± 0.79","1.27 ± 0.47"
"CD59","10.22 ± 16.98","22.92 ± 21.01","22.21 ± 35.58","14.21 ± 13.12","20.32 ± 17.91"
"CFB","0.35 ± 0.55","0.96 ± 0.92","0.83 ± 0.56","1.35 ± 1.08","0.9 ± 0.93"
"CFH","1.72 ± 1.5","1.38 ± 1.64","1.53 ± 1.7","1.64 ± 1.43","1.32 ± 1.1"
"CFP","0.49 ± 0.49","0.57 ± 1.29","1.23 ± 1.3","1.58 ± 0.91","0.73 ± 1.53"
"CR1","7.77 ± 14.83","13.48 ± 73.1","16.89 ± 7.4","16.73 ± 23.24","6.13 ± 7.86"
"CR2","1.79 ± 5.2","2.5 ± 26.16","2.14 ± 2.62","1.18 ± 5.72","0.61 ± 1.14"
"CR3","0.31 ± 0.46","0.37 ± 0.85","0.39 ± 0.34","0.47 ± 0.68","0.4 ± 0.27"
"CR4","0 ± 0.01","0.01 ± 0.02","0.02 ± 0.03","0.02 ± 0.02","0.01 ± 0.02"
"VSIG4","11.27 ± 13.12","12.72 ± 15.83","9.61 ± 7.73","11.84 ± 16.89","11.36 ± 10.05"
